phase,mu_0,beta,volume,kT,density,omega,P
1,-1.7922515717208751,0.8333333333333334,512.0,1.2,0.7535313123136824,-691.171209286595,1.3499437681378808
1,-1.7864509116496885,0.8333333333333334,512.0,1.2,0.7536512595595326,-693.4093291918366,1.3543150960778059
1,-1.7806781564580278,0.8333333333333334,512.0,1.2,0.7537684765042973,-695.6370327837777,1.3586660796558159
1,-1.7749330389501783,0.8333333333333334,512.0,1.2,0.7538830366797366,-697.8544118783733,1.3629968981999478
1,-1.7692152957498384,0.8333333333333334,512.0,1.2,0.7539950116646394,-700.0615571915206,1.3673077288896887
1,-1.7635246672276694,0.8333333333333334,512.0,1.2,0.7541044711176469,-702.2585583542833,1.3715987467857096
1,-1.7578608974305556,0.8333333333333334,512.0,1.2,0.7542114828115536,-704.4455039278539,1.3758701248590897
1,-1.752223734012525,0.8333333333333334,512.0,1.2,0.7543161126688526,-706.6224814182657,1.3801220340200502
1,-1.746612928167286,0.8333333333333334,512.0,1.2,0.7544184247983041,-708.7895772908624,1.3843546431462157
1,-1.741028234562333,0.8333333333333334,512.0,1.2,0.7545184815323276,-710.9468769845406,1.3885681191104309
1,-1.7354694112745788,0.8333333333333334,512.0,1.2,0.7546163434650338,-713.0944649257663,1.3927626268081372
1,-1.7299362197274717,0.8333333333333334,512.0,1.2,0.7547120694907273,-715.232424542378,1.396938329184332
1,-1.7244284246295538,0.8333333333333334,512.0,1.2,0.754805716842731,-717.3608382771831,1.4010953872601233
1,-1.718945793914425,0.8333333333333334,512.0,1.2,0.7548973411323927,-719.4797876013506,1.405233960158888
1,-1.7134880986820706,0.8333333333333334,512.0,1.2,0.7549869963881474,-721.5893530276113,1.4093542051320533
1,-1.7080551131415187,0.8333333333333334,512.0,1.2,0.7550747350945254,-723.6896141232646,1.4134562775845012
1,-1.7026466145547876,0.8333333333333334,512.0,1.2,0.7551606082310058,-725.780649523003,1.4175403310996153
1,-1.6972623831820937,0.8333333333333334,512.0,1.2,0.7552446653106246,-727.8625369415537,1.421606517463972
1,-1.6919022022282806,0.8333333333333334,512.0,1.2,0.7553269544182535,-729.9353531861433,1.425654986691686
1,-1.6865658577904394,0.8333333333333334,512.0,1.2,0.7554075222484908,-731.9991741687925,1.4296858870484228
1,-1.6812531388066918,0.8333333333333334,512.0,1.2,0.7554864141430873,-734.0540749184353,1.433699365075069
1,-1.6759638370060974,0.8333333333333334,512.0,1.2,0.755563674127864,-736.1001295928778,1.4376955656110895
1,-1.6706977468596629,0.8333333333333334,512.0,1.2,0.7556393449490695,-738.1374114905902,1.441674631817559
1,-1.6654546655324214,0.8333333333333334,512.0,1.2,0.7557134681091385,-740.1659930623376,1.4456367051998782
1,-1.6602343928365524,0.8333333333333334,512.0,1.2,0.7557860839018166,-742.1859459226552,1.4495819256301858
1,-1.6550367311855203,0.8333333333333334,512.0,1.2,0.755857231446621,-744.1973408611639,1.4535104313694607
1,-1.6498614855491978,0.8333333333333334,512.0,1.2,0.7559269487226195,-746.200247853736,1.457422359089328
1,-1.6447084634099565,0.8333333333333334,512.0,1.2,0.7559952726014975,-748.1947360735068,1.461317843893568
1,-1.6395774747196923,0.8333333333333334,512.0,1.2,0.7560622388799116,-750.180873901738,1.465197019339332
1,-1.634468331857771,0.8333333333333334,512.0,1.2,0.7561278823111065,-752.1587289385326,1.4690600174580715
1,-1.6293808495898603,0.8333333333333334,512.0,1.2,0.7561922366357945,-754.1283680134051,1.4729069687761818
1,-1.6243148450276332,0.8333333333333334,512.0,1.2,0.7562553346122901,-756.0898571957067,1.4767380023353647
1,-1.6192701375893184,0.8333333333333334,512.0,1.2,0.7563172080458997,-758.0432618049091,1.480553245712713
1,-1.614246548961076,0.8333333333333334,512.0,1.2,0.7563778878175612,-759.9886464207467,1.484352825040521
1,-1.6092439030591783,0.8333333333333334,512.0,1.2,0.7564374039117459,-761.9260748932211,1.4881368650258224
