n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
76,0,0.6666666666666666,512.0,305.57667196607986,0.832662631578949,75.77341133333334,-229.80326063274654,-63.282360000000125,-2.1910644820098213,0.1484375,76.0,63.282360000000125,-0.7544721447368421,-3.0237271135887704
77,0,0.6666666666666666,512.0,308.26709744808966,0.8319368831168242,76.27792733333334,-231.9891701147563,-64.05913999999547,-2.1809094820098807,0.150390625,77.0,64.05913999999547,-0.7640663506493507,-3.012846365126705
78,0,0.6666666666666666,512.0,310.936490263433,0.8313069230768184,76.77141066666667,-234.1650795967663,-64.84193999999184,-2.170809482009929,0.15234375,78.0,64.84193999999184,-0.773626717948718,-3.0021164050867477
79,0,0.6666666666666666,512.0,313.5840404121095,0.8305544936709618,77.25325133333334,-236.33078907877615,-65.61380500000598,-2.160974482009749,0.154296875,79.0,65.61380500000598,-0.7831661139240507,-2.9915289756807106
80,0,0.6666666666666666,512.0,316.20664122745245,0.8301583750000645,77.71961266666668,-238.4870285607858,-66.41267000000516,-2.150929482009758,0.15625,80.0,66.41267000000516,-0.7927572625,-2.9810878570098227
81,0,0.6666666666666666,512.0,318.806277376129,0.8295089506172902,78.17362933333334,-240.63264804279567,-67.19022500000051,-2.1412644820098166,0.158203125,81.0,67.19022500000051,-0.8023401975308642,-2.970773432627107
82,0,0.6666666666666666,512.0,321.38696085813876,0.8285948780487254,78.61740333333334,-242.76955752480544,-67.94477999999549,-2.1320094820098774,0.16015625,82.0,67.94477999999549,-0.8118767682926828,-2.960604360058603
83,0,0.6666666666666666,512.0,323.9429670068154,0.8281477710842603,79.0463,-244.89666700681542,-68.73626499999361,-2.1224144820099013,0.162109375,83.0,68.73626499999361,-0.8214524096385541,-2.9505622530941618
84,0,0.6666666666666666,512.0,326.4799278221586,0.8274379761904646,79.46554133333333,-247.01438648882524,-69.50478999999902,-2.113209482009836,0.1640625,84.0,69.50478999999902,-0.8309724761904762,-2.9406474582003006
85,0,0.6666666666666666,512.0,328.9961759708351,0.8262453529411791,79.87309,-249.1230859708351,-70.23085500000022,-2.104614482009822,0.166015625,85.0,70.23085500000022,-0.8404748823529412,-2.930859834951001
86,0,0.6666666666666666,512.0,331.49132811951154,0.8253453488372904,80.26771266666667,-251.22361545284488,-70.97970000000697,-2.095859482009743,0.16796875,86.0,70.97970000000697,-0.8499817558139535,-2.9212048308470333
87,0,0.6666666666666666,512.0,333.9655929348546,0.8254949425287932,80.650788,-253.31480493485458,-71.818060000005,-2.0861694820097654,0.169921875,87.0,71.818060000005,-0.8594691724137932,-2.9116644245385586
88,0,0.6666666666666666,512.0,336.41819375019776,0.8251522727272044,81.02223933333335,-255.3959544168644,-72.61339999999399,-2.077074482009891,0.171875,88.0,72.61339999999399,-0.8689391022727272,-2.9022267547370957
89,0,0.6666666666666666,512.0,338.85018789887437,0.8246101123594979,81.381234,-257.46895389887436,-73.3902999999953,-2.068299482009877,0.173828125,89.0,73.3902999999953,-0.8784061685393258,-2.892909594369375
90,0,0.6666666666666666,512.0,341.2611007142175,0.8239455555556301,81.72854733333334,-259.53255338088417,-74.15510000000671,-2.0597494820097495,0.17578125,90.0,74.15510000000671,-0.8878575444444444,-2.8836950375653796
91,0,0.6666666666666666,512.0,343.65068152956053,0.8230839010989023,82.06222866666667,-261.58845286289386,-74.90063500000011,-2.0515144820098214,0.177734375,91.0,74.90063500000011,-0.8973259010989011,-2.8745983831087236
92,0,0.6666666666666666,512.0,346.0200990115705,0.8228396739129813,82.38451666666667,-263.6355823449038,-75.70124999999427,-2.0427644820098863,0.1796875,92.0,75.70124999999427,-0.9067741847826087,-2.8656041559228673
93,0,0.6666666666666666,512.0,348.3701998269136,0.8223300000000271,82.696218,-265.67398182691363,-76.47669000000252,-2.034379482009797,0.181640625,93.0,76.47669000000252,-0.9161900322580646,-2.856709482009824
94,0,0.6666666666666666,512.0,350.69732797559004,0.8216590425532091,82.99298666666667,-267.7043413089234,-77.23595000000165,-2.026259482009806,0.18359375,94.0,77.23595000000165,-0.925643829787234,-2.8479185245630148
95,0,0.6666666666666666,512.0,353.0065134575999,0.821631842105317,83.28001266666666,-269.72650079093324,-78.05502500000512,-2.0175944820097698,0.185546875,95.0,78.05502500000512,-0.9350524315789474,-2.839226324115087
96,0,0.6666666666666666,512.0,355.2932602729429,0.8216656250000097,83.55373,-271.73953027294294,-78.87990000000093,-2.0089544820098126,0.1875,96.0,78.87990000000093,-0.94447296875,-2.8306201070098225
97,0,0.6666666666666666,512.0,357.56017375495287,0.8211828350514627,83.815764,-273.74440975495287,-79.65473499999189,-2.000924482009907,0.189453125,97.0,79.65473499999189,-0.9538799381443299,-2.82210731706137
98,0,0.6666666666666666,512.0,359.80856323696275,0.8203830612244949,84.067184,-275.74137923696276,-80.3975400000005,-1.993304482009819,0.19140625,98.0,80.3975400000005,-0.9632573877551021,-2.813687543234314
